SURVEYID	FORMTYPE	RESPTYPE	AGCYTYPE	AGENCY	CITY	STATE	ZIPCODE	SWNAUTHEMP	SWNFTEMP	SWNPTEMP	CIVFTEMP	CIVPTEMP	TOTFTEMP	TOTPTEMP	FTRESERVESWN	PTRESERVESWN	FTRESERVECIV	PTRESERVECIV	FTGANGOFF	PTGANGOFF	FTDRUGOFF	PTDRUGOFF	FTTERROFF	PTERROFF	FTHUMTRFOFF	PTHUMTRFOFF	NUMRESPOFF	NUMCPO	NUMSRO	NUMPATR	NUMINVST	NUMJAIL	NUMCRTSEC	NUMPROCSERV	OPBUDGET	OPBUDGEST	DRUGFORF	GAMBFORF	OTHRFORF	ASFOREST	MINEDUC	EDREQEXM	BACKGRND	CREDHIS	CRIMHIS	DRIVHIS	INTERVW	PERSTEST	POLYEXAM	PSYCHEVAL	VOICESTRESS	WRITAPTEST	ANPROBSOLV	CULTDIV	CONFMGT	SECLANG	VOLHIS	DRUGTEST	MEDEXAM	PHYSTEST	TOTACAD	TOTFIELD	TOTINSRV	WHITE	BLACK	HISPANIC	ASIAN	NATHAW	AMERIND	MULTRACE	UNKRACE	MALE	FEMALE	TOTGENDER	SWNBILING	CIVBILING	SWNINTERP	CIVINTERP	VOLINTERP	CONINTERP	OTHINTERP	INTERPDESC	EDUCPAY	HAZARDPAY	MERITPAY	SHIFTPAY	SKILLPAY	LANGPAY	TUITIONPAY	MILPAY	COLLBARG	RESPAY	CHIEFMIN	CHIEFMAX	SGTMIN	SGTMAX	ENTRYMIN	ENTRYMAX	OPER911	NUMWIRE	EXACTLOC	GENLOC	CARPAT	MOTOPAT	FOOTPAT	AIRPAT	BOATPAT	HORSEPAT	BIKEPAT	SEGPAT	OTHERPAT	OTHPATDESC	CPTRNNEW	CPTRNINSERV	CPMISSION	CPSARA	CPSARANUM	CPACADEMY	CPPLAN	CPGEO	CPGEONUM	CPPROBSOLV	CPTECHUP	CPPARTNER	CPSURVEY	CPUNIT	CPNONE	ADVGRP	BUSGRP	FAITHORG	LOCGOVT	OTHLOCLEA	NEIGHASC	SENIORGRP	SCHOOLGRP	YOUTHSERV	EMAILMRKT	WEBFEEDBACK	WEBMAPS	WEBSTATS	LISTSERV	REV911NOT	MASSNOTNUM	NONEM311	EREPORTING	ECRIMEREP	OTHRCP	OTHCPDESC	TERRPLAN	INTEROP	TERRPREPDIV	TERRPREPFEAR	TERPREPINFO	TERRPREPMEET	TERRPREPINCR	TERRPREPEXER	OTHTERRPREP	TERRPREPDESC	SWNINTEL	CIVINTEL	SEMIPRIM	SEMIBACK	PRIM10MM	BACK10MM	PRIM9MM	BACK9MM	PRIM45	BACK45	PRIM40	BACK40	PRIM357	BACK357	PRIM380	BACK380	PRIMOTHCAL	BACKOTHCAL	PRIMANYSEMI	BACKANYSEMI	REVOPRIM	REVOBACK	NOBACKUP	ASSLTWEAP	SHOTGUN	CARBINE	RIFLE	OTHSECWP	SECGUNDESC	NOSECGUN	ARMORREQ	NUMDOGS	NUMHORSES	TRADBATON	PR24BATON	COLLBATON	SOFTPROJ	BLACKJACK	RUBBULLET	OTHIMP	OTHIMPDESC	OCPEPPER	OTHCHEM	OTHCHEMDESC	CED	NECKHOLD	OTHNONLETH	OTHACTDESC	DIGPRINTS	DIGFACEREG	DIGMUGSHOT	DIGPHOTO	DIGCOMP	DIGNONE	INFRARED	GOGGLES	IMAGEINT	LPREADER	LASERRANGE	OPTICNONE	ENGDISRUPT	TIREDEFLATE	VEHTRACK	NOVEHSTOP	NUMMRKCARS	NUMOTHMRK	NUMUMKCARS	NUMOTHUNM	NUMPLANES	NUMCOPTERS	NUMBOATS	NUMMOTOR	TAKEHOME	PERSUSE	OUTSIDEJUR	VIDCAM	NUMCARCAM	NUMFIXCAM	NUMMOBCAM	SHOTSENSOR	NUMSENSOR	COMCOMMPROB	COMBOOKING	COMCRIMANL	COMCRIMEMAP	COMINVEST	COMCAD	COMFLEET	COMHOTSPOT	COMINFCOMM	COMINFWRIT	COMINTEL	COMINFOSHAR	COMINTERNET	COMPERSREC	COMRECMAN	COMRESALLO	COMNONE	ALARMFILES	ARRESTFILES	BIOMETFILES	CFSFILES	CMPLNTFILES	PRINTFILES	INCREPFILES	GUNFILES	INTELFILES	PROPFILES	SUMMFILES	TRAFCITFILES	TRAFSTOPFILES	USEFORCEFILES	WARRANTFILES	GANGFILES	PAWNFILES	PROTORDFILES	NONEFILES	USEINFCOM	NUMPERM	NUMDOCK	NUMPORT	MVRECACC	DRIVRECACC	CRIMRECACC	WARRRANTACC	PROTORDACC	INFOSHARACC	ADDRINFOACC	WEBACC	GISMAPACC	OTHERACC	OTHACCDESC	TRANSMIT	TRNSDESC	AFISOWNER	AFISTERM	AFISOTHER	AFISNONE	EARLYWARN	AUTOUNIT	BIASUNIT	BOMBUNIT	CHILDUNIT	CRPREVUNIT	CRIMANUNIT	CYBERUNIT	DVUNIT	DRUGEDUNIT	FINCRMUNIT	DRUGENFUNIT	GANGUNIT	DUIUNIT	INTAFFUNIT	JUVCRMUNIT	METHUNIT	MISCHDUNIT	REPOFFUNIT	RESPLANUNIT	SCHSAFEUNIT	TERRHOMEUNIT	VICTASSTUNIT	DEADFORCPLCY	LESSTHANPLCY	CODECONDPLCY	OFFDEMPLPLCY	MAXHOURSPLCY	OFFDCONDPLCY	MEDIAPLCY	EAPPLCY	MENTILLPLCY	HOMELESSPLCY	DOMDISPPLCY	JUVENILEPLCY	LIMITENGPLCY	INCUSDTHPLCY	RACIALPRPLCY	CITCOMPPLCY	IMMSTATPLCY	NUMUOFSUST	NUMUOFOTH	NUMUOFPEND	NUMUOFTOT	CCRB	CCRBPOWERS	OUTSIDEINV	IMPBUDGET	IMPTRNACD	IMPTRNFLD	IMPTRNINS	IMPCHFMIN	IMPCHFMAX	IMPSGTMIN	IMPSGTMAX	IMPENTRYMIN	IMPENTRYMAX	IMPGENDER	IMPRACE	IMPSWNINTEL	IMPCIVINTEL	IMPCARCAM	IMPSITECAM	IMPMOBLCAM	IMPMARKED	IMPOTHMKD	IMPUNMARKED	IMPOTHUNMKD	IMPMOTOS	IMPBOATS	IMPPLANES	IMPCOPTERS	IMPMOUNTED	IMPDOCKING	IMPNONDOCK	IMPSARA	IMPGEOG	IMPDRUGTASK	IMPGANGTASK	IMPHUMNTASK	IMPTERRTASK	IMPCELL	ORI	CSLLEA04_ID	POPULATION	LPDSAMPGRP	FINALWT_PAGE1	FINALWT_PAGE2ON
1399	S	full	3	PELLA POLICE DEPARTMENT	Pella	IA	50219	14	14	0	5	2	19	2	0	7	0	0	0	0	1	0	0	0	0	0	14	0	0	 	 	 	 	 	1300000	 	11000	0	0	 	4	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	560	160	24	14	0	0	0	0	0	0	0	13	1	14	 	 	 	 	 	 	 	 	0	0	1	0	0	0	0	1	1	0	999999	83800	38750	58115	30909	43202	1	1	0	1	1	1	1	0	0	0	1	0	0	 	1	0	1	1	14	0	0	0	8888	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	0	 	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	0	0	0	0	0	1	0	0	0	0	 	1	0	 	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	0	0	1	0	0	0	1	0	8	8	1	5	0	0	0	8888	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	IA06302	10033214	10280	4	7.48085	7.54506
1400	S	full	3	PLEASANTVILLE POLICE DEPARTMENT	Pleasantville	IA	50225	3	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	 	 	 	 	 	176141	 	0	0	0	1	4	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	560	120	30	2	0	0	0	0	0	1	0	3	0	3	 	 	 	 	 	 	 	 	0	0	1	0	0	0	0	1	0	0	38000	43000	999999	999999	30000	34000	1	1	0	1	1	0	1	0	0	0	0	0	0	 	1	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	0	0	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	0	0	0	1	1	1	1	1	0	1	ASP BATON	1	0	 	1	1	1	DEFENSIVE FLASHLIGHT & KNIFE	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	8888	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	2	0	0	0	0	0	0	0	0	0	1	REPORT WRITING	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	IA06303	10033218	1622	6	20.03537	20.29005
1363	S	full	3	ALTA POLICE DEPARTMENT	Alta	IA	51002	3	3	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	1	 	 	 	 	 	180000	 	0	0	0	 	3	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	560	80	8	3	0	0	0	0	0	0	0	3	0	3	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	1	0	0	42000	42000	999999	999999	28000	28000	1	1	1	1	1	0	0	0	0	0	0	0	0	 	8	0	0	0	8888	0	0	0	8888	0	1	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	1	0	1	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	0	0	0	1	1	1	0	0	0	0	 	1	0	 	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8888	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	2	0	0	0	0	0	1	1	1	1	0	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	IA01104	10032935	1850	6	20.03537	20.29005
1359	S	full	3	ACKLEY POLICE DEPARTMENT	Ackley	IA	50601	4	4	5	0	0	4	5	0	3	0	0	0	0	0	0	0	0	0	0	4	1	0	 	 	 	 	 	204513	 	0	0	0	 	2	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	500	60	20	4	0	0	0	0	0	0	0	2	2	4	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	37608	37608	28500	30000	22000	24500	1	1	0	0	1	0	1	0	0	0	0	0	0	 	8	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	1	1	1	1	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	1	0	0	1	1	1	0	1	0	0	 	1	0	 	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	8888	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	IA04202	10032924	1688	6	20.03537	20.29005
331	L	full	3	COUNCIL BLUFFS POLICE DEPARTMENT	Council Bluffs	IA	51501	109	109	0	28	0	137	0	0	5	0	0	0	3	0	3	0	0	0	0	67	4	4	62	99999	99999	99999	99999	13000000	1	0	0	0	0	4	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1400	1400	40	104	0	5	0	0	0	0	0	104	5	109	0	0	1	1	0	1	0	 	1	1	0	1	1	1	0	0	1	0	85000	98000	43668	63891	38172	55805	1	0	0	1	1	1	0	0	0	0	0	0	0	 	0	0	1	0	8888	1	0	1	109	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	 	0	0	0	0	0	0	0	1	0	 	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	 	0	1	1	0	0	0	1	1	0	0	0	 	1	0	 	1	0	0	 	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	15	7	35	4	0	0	0	2	0	8	8	1	15	0	0	0	8888	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	15	0	0	1	1	1	1	0	0	1	0	0	0	 	1	 	1	0	0	0	0	2	2	1	2	1	4	2	2	2	2	1	1	3	2	2	2	2	2	2	2	2	4	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	99999	99999	99999	99999	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	IA07801	10033008	60531	100	1.04973	1.05914
1377	S	full	3	ESSEX POLICE DEPARTMENT	Essex	IA	51638	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	 	 	 	 	 	69000	1	0	0	0	 	4	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	520	0	12	1	0	0	0	0	0	0	0	1	0	1	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	36000	36000	999999	999999	999999	999999	1	0	0	0	1	0	1	0	0	0	0	0	0	 	8	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	0	1	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	1	0	0	0	1	0	0	0	0	0	 	0	0	 	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	1	 	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	IA07303	10033050	806	6	20.03537	20.29005
1376	S	full	3	EARLHAM POLICE DEPARTMENT	Earlham	IA	50072	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	 	 	 	 	 	131133	 	0	0	0	 	4	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	620	320	12	2	0	0	0	0	0	0	0	2	0	2	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0	38480	38480	999999	999999	32240	32240	0	8	8	8	1	0	1	0	0	0	0	0	0	 	8	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	1	0	1	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	1	0	0	0	1	1	0	0	0	0	 	1	0	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	 	10033037	1340	6	20.03537	20.29005
1392	S	full	3	MAR-MAC UNIFIED LAW ENFORCEMENT	Marquette	IA	52158	3	3	3	0	1	3	4	0	3	0	0	0	0	0	1	0	0	0	0	3	2	2	 	 	 	 	 	235260	 	0	0	0	 	4	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	544	0	15	3	0	0	0	0	0	0	0	3	0	3	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	43043	43043	999999	999999	26380	30186	1	1	0	1	1	0	1	0	0	0	0	0	0	 	1	0	1	0	8888	0	0	0	8888	0	1	0	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	1	0	1	1	0	 	0	888	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	0	0	0	0	0	1	1	0	1	0	 	1	0	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	8888	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	1	 	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	 	10033147	1698	6	20.03537	20.29005
1389	S	full	3	LE MARS POLICE DEPT	Le Mars	IA	51031	14	14	0	16	0	30	0	0	0	0	0	0	1	0	6	0	0	0	0	14	0	0	 	 	 	 	 	1269908	 	3000	0	0	1	4	0	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	560	300	24	14	0	0	0	0	0	0	0	14	0	14	 	 	 	 	 	 	 	 	1	0	0	1	0	0	1	0	1	0	65711	80068	50440	50440	38584	47424	1	1	0	1	1	0	1	0	0	0	1	0	0	 	8	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	0	 	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	1	1	0	0	0	1	1	0	0	0	 	1	0	 	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	0	1	2	0	0	0	0	0	8	8	1	6	0	0	0	8888	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	6	0	0	0	0	0	0	0	1	0	0	0	 	1	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	IA07501	10033127	9375	4	7.48085	7.54506
1382	S	full	3	GLENWOOD POLICE DEPT	Glenwood	IA	51534	9	9	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	 	 	 	 	 	1040000	1	0	0	0	 	4	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	500	900	60	9	0	0	0	0	0	0	0	9	0	9	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	63000	63000	48000	48000	41000	41000	1	1	1	1	1	0	1	0	0	0	0	0	0	 	1	1	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	1	1	EMERGENCY PROGRAM TRAINING	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	1	1	0	1	1	1	1	0	1	0	 	1	0	 	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	1	1	0	0	0	0	0	0	8	8	1	5	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	1	 	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	IA06501	10033074	5816	5	10.80443	10.96629
1409	S	full	3	WEST BURLINGTON POLICE DEPARTMENT	West Burlington	IA	52655	10	9	0	1	0	10	0	0	6	0	0	0	0	1	0	0	0	0	0	6	0	0	 	 	 	 	 	875145	 	7000	0	0	1	4	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	537	480	40	9	0	0	0	0	0	0	0	7	2	9	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	0	1	0	48000	56500	45991	45991	32282	40352	1	1	0	1	1	0	0	0	0	0	0	0	0	 	8	3	0	0	8888	0	0	0	8888	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	0	1	0	 	0	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	1	0	0	0	0	1	0	0	0	0	 	1	0	 	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	0	1	1	0	0	0	0	1	0	0	1	8	0	0	0	8888	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	8	1	1	1	1	1	1	1	0	1	0	0	 	3	 	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	IA02902	10033319	3376	5	10.80443	10.96629
1398	S	full	3	OSAGE POLICE DEPARTMENT	Osage	IA	50461	6	6	0	0	1	6	1	0	5	0	0	0	0	0	0	0	0	0	0	6	0	1	 	 	 	 	 	437738	 	0	0	1450	 	4	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	536	180	30	6	0	0	0	0	0	0	0	6	0	6	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	45000	999999	40338	999999	30576	999999	1	1	1	1	1	0	1	0	0	0	0	0	0	 	1	3	0	1	6	0	0	0	8888	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	1	1	1	1	0	 	0	888	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	1	0	0	0	0	1	0	0	0	0	 	1	0	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	8888	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	IA06601	10033203	3447	6	20.03537	20.29005
1404	S	full	3	TAMA POLICE DEPARTMENT	Tama	IA	52339	5	5	1	0	0	5	1	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	 	 	 	 	 	332500	 	0	0	0	 	4	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1044	80	40	3	1	1	0	0	0	0	0	5	0	5	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	43500	43500	36500	36500	32750	35500	1	1	0	0	1	0	1	0	0	0	0	0	0	 	0	0	1	0	8888	0	0	0	8888	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	1	0	1	0	 	0	888	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	 	 	 	 	 	 	 	 	0	0	0	0	0	1	0	0	0	0	 	1	0	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	0	0	1	0	0	0	0	0	8	8	1	2	0	1	0	8888	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	 	3	 	0	0	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	IA08602	10033287	2617	5	10.80443	10.96629
