ORI7	ORI9	SHERIFF_FLAG	TYPE	TRIBALPD	COUNTYPD	AGENCYID	BJS_AGENCYNAME	CITY	STATENAME	STATECODE	ZIPCODE	POP2012	SAMPLETYPE_FINAL	STRATCODE	FTSWORN	FTCIV	PTSWORN	PTCIV	PERS_PDSW_MFT	PERS_PDSW_MPT	PERS_PDSW_FFT	PERS_PDSW_FPT	PERS_FTS_WHT	PERS_FTS_BLK	PERS_FTS_HSP	PERS_FTS_IND	PERS_FTS_ASN	PERS_FTS_HAW	PERS_FTS_TWO	PERS_FTS_UNK	PERS_FTS_RACETOT	PERS_RESP_PATRL	PERS_RESP_INVST	PERS_RESP_JAIL	PERS_RESP_CRT	PERS_RESP_OTHR	PERS_SUP_CHF_M	PERS_SUP_CHF_F	PERS_SUP_INTM_M	PERS_SUP_INTM_F	PERS_SUP_SGT_M	PERS_SUP_SGT_F	PERS_SSW_FT	PERS_SSW_PT	PERS_UPSW	PERS_DUT_NONE	PERS_DUT_ADMN	PERS_DUT_CLN	PERS_DUT_LGL	PERS_DUT_ACCT	PERS_DUT_FSCI	PERS_DUT_RSRCH	PERS_DUT_HR	PERS_DUT_IT	PERS_DUT_VM	PERS_DUT_CD	PERS_DUT_CRT	PERS_DUT_JAIL	PERS_DUT_OTHR	PERS_DUT_SPEC	PAY_SAL_EXC_MIN	PAY_SAL_EXC_MAX	PAY_SAL_SGT_MIN	PAY_SAL_SGT_MAX	PAY_SAL_OFCR_MIN	PAY_SAL_OFCR_MAX	PAY_INCT_EDU	PAY_INCT_VOC	PAY_INCT_LANG	PAY_INCT_SPCL	PAY_INCT_HZRD	PAY_INCT_SD	PAY_INCT_RINC	PAY_INCT_MRT	PAY_INCT_OTHR	PAY_INCT_SPEC	PAY_OUT	PAY_RST_NO	PAY_RST_HRS	PAY_RST_TYPE	PAY_RST_OTHR	PAY_RST_SPEC	PAY_BARG	PAY_SBARG	PAY_RMB_TUIT	PAY_RMB_UNF	PAY_RMB_ARMR	PAY_RMB_SFTY	PAY_RMB_FIRE	PAY_OVER_SW	PAY_OVER_NSW	PAY_FUNC_CRT	PAY_FUNC_SHFT	PAY_FUNC_PTRL	PAY_FUNC_INVS	PAY_FUNC_ADMN	PAY_FUNC_EMRG	PAY_FUNC_EVNT	PAY_FUNC_OTHR	PAY_FUNC_SPEC	PAY_LMT	PAY_VEH_MRK	PAY_VEH_UMRK	HIR_FRZ	HIR_MTH_SW10	HIR_MTH_SW11	HIR_MTH_SW12	HIR_MTH_NSW10	HIR_MTH_NSW11	HIR_MTH_NSW12	HIR_NBR	HIR_NBR_DRCT_FT	HIR_NBR_DRCT_PT	HIR_NBR_PRE_FT	HIR_NBR_PRE_PT	HIR_NBR_LAT_FT	HIR_NBR_LAT_PT	HIR_NBR_TFT	HIR_NBR_TPT	HIR_TRN_NO_L	HIR_TRN_NO_P	HIR_TRN_CRS_L	HIR_TRN_CRS_P	HIR_TRN_FLD_L	HIR_TRN_FLD_P	HIR_TRN_DIR_L	HIR_TRN_DIR_P	HIR_TRN_OLATS	HIR_TRN_OPRES	HIR_NSWT_NO	HIR_NSWT_VAR_FT	HIR_NSWT_VAR_PT	HIR_EDU_NO	HIR_EDU_HS	HIR_EDU_SCOL	HIR_EDU_AD	HIR_EDU_BD	HIR_EDU_OTHR	HIR_EDU_SPEC	HIR_MIL	HIR_BD_VAR	HIR_RTR_DB	HIR_RTR_DC	HIR_RTR_SS	HIR_RTR_OTHR	HIR_RTR_SPEC	HIR_SEP_NMED	HIR_SEP_MED	HIR_SEP_VOL	HIR_SEP_LAYOFF	HIR_SEP_DIS	HIR_SEP_OTHR	HIR_SEP_TTL	HIR_SEPNS_LAYOFF	HIR_SEPNS_OTHR	HIR_SEPNS_TTL	BDGT_MNTH	BDGT_TTL	BDGT_TTL_EST	BDGT_SRC_MNC	BDGT_SRC_CNTY	BDGT_SRC_STATE	BDGT_SRC_FED	BDGT_SRC_CONT	BDGT_SRC_ASST	BDGT_SRC_FEE	BDGT_SRC_OTHR	BDGT_SRC_SPEC	BDGT_RED	BDGT_PCT_SW	BDGT_PCT_NSW	BDGT_FUR	BDGT_FUR2_SW10	BDGT_FUR2_SW11	BDGT_FUR2_SW12	BDGT_FUR2_NSW10	BDGT_FUR2_NSW11	BDGT_FUR2_NSW12	COM_MIS	COM_TRN_REC	COM_TRN_INSRV	COM_SARA	COM_NSARA	COM_COL	COM_PTNR	COM_BT	COM_NBT	COM_SURV	TECH_TYP_GUN	TECH_TYP_LIC	TECH_TYP_SMRT	TECH_TYP_VPUB	TECH_TYP_VVEH	TECH_TYP_VPAT	TECH_TYP_VWPN	TECH_TYP_VOTHR	TECH_EAC_MREC	TECH_EAC_DREC	TECH_EAC_CRIM	TECH_EAC_WARR	TECH_EAC_PROT	TECH_EAC_ADRS	TECH_CIR	TECH_CIR_SPEC	TECH_CRS	TECH_CREC_INC	TECH_CREC_SUM	TECH_CREC_NAR	TECH_CREC_OTHR	TECH_CREC_SPEC	TECH_REC_NAR	TECH_REC_CODE	TECH_REC_STAT	TECH_REC_VIC	TECH_REC_SUS	TECH_REC_LOC	TECH_REC_GEO	TECH_REC_DATE	TECH_WHO_NO	TECH_WHO_STAFF	TECH_WHO_EXTR	TECH_MANY_FTS	TECH_MANY_PTS	TECH_MANY_FTNS	TECH_MANY_PTNS	TECH_OUT_LAW	TECH_OUT_GOV	TECH_OUT_UNIV	TECH_OUT_VEND	TECH_OUT_OTHR	TECH_OUT_OTHR_SPEC	TECH_WEB_NONE	TECH_WEB_JUR	TECH_WEB_BEAT	TECH_WEB_MAP	TECH_WEB_OFFND	TECH_WEB_OTHR	TECH_WEB_SPEC	TECH_PUBL_REP	TECH_PUBL_ASK	TECH_PUBL_FILE	TECH_PUBL_OTHR	TECH_PUBL_SPEC	TECH_REPT	TECH_RECV	TECH_MEDIA_TW	TECH_MEDIA_FB	TECH_MEDIA_BLOG	TECH_MEDIA_YTBE	TECH_MEDIA_MASS	TECH_MEDIA_OTHR	TECH_MEDIA_SPEC	VEH_OPRT_MK	VEH_OPRT_UNMK	VEH_TYP_MTR	VEH_TYP_ATV	VEH_TYP_AIR	VEH_TYP_HCOP	VEH_TYP_BOAT	VEH_TYP_DRONE	VEH_TYP_OTHR	VEH_TYP_SPEC	VEH_WPUR	VEH_WPUR_SPEC	VEH_DOC	VEH_DOC_SPEC	VEH_NPUR	VEH_NPUR_EST	VEH_NPUR_UNK	VEH_REST_NO	VEH_REST_ALN	VEH_REST_VISL	VEH_REST_SEPR	VEH_REST_RADIO	VEH_REST_ARM	VEH_REST_OTHR	VEH_REST_SPEC	VEH_CNTN	SAFE_AUTH_HGN	SAFE_AUTH_RFL	SAFE_AUTH_SGN	SAFE_AUTH_BTN	SAFE_AUTH_IMP	SAFE_AUTH_SOFT	SAFE_AUTH_SPRAY	SAFE_AUTH_CHEM	SAFE_AUTH_TASR	SAFE_AUTH_NECK	SAFE_AUTH_TKDWN	SAFE_AUTH_OHAND	SAFE_AUTH_CHAND	SAFE_AUTH_LEG	SAFE_DOC_DISF	SAFE_DOC_DCHF	SAFE_DOC_BAT	SAFE_DOC_IMP	SAFE_DOC_SOFT	SAFE_DOC_SPRAY	SAFE_DOC_CHEM	SAFE_DOC_DIST	SAFE_DOC_DCHT	SAFE_DOC_NECK	SAFE_DOC_TKDWN	SAFE_DOC_OHAND	SAFE_DOC_CHAND	SAFE_DOC_LEG	SAFE_FINC	SAFE_FINC_SPEC	NO_RECORD_FORCE	SAFE_FRC_INC	SAFE_FRC_OFFC	SAFE_FRC_OTHR	SAFE_FRC_SPEC	SAFE_FTTL	SAFE_FTTL_EST	SAFE_FTTL_UNK	SAFE_SEPR	SAFE_SEPR_EST	SAFE_SEPR_UNK	SAFE_ARMR	SAFE_ARMR_OTHRS	SAFE_RQUR_ACC	SAFE_RQUR_RSK	SAFE_RQUR_ALL	SAFE_RQUR_CSTM	SAFE_RQUR_TRN	SAFE_RQUR_COMP	SAFE_RQUR_BLST	NO_BODY_ARMOR	SAFE_PAY_DPT	SAFE_PAY_IND	SAFE_PAY_GRNT	SAFE_PAY_OTHR	SAFE_PAY_SPEC	ISSU_ADDR_BIAS	ISSU_ADDR_BOMB	ISSU_ADDR_ABSE	ISSU_ADDR_CYBR	ISSU_ADDR_DPV	ISSU_ADDR_TERR	ISSU_ADDR_TRAF	ISSU_ADDR_DUI	ISSU_ADDR_JUV	ISSU_ADDR_GANG	ISSU_ADDR_REEN	ISSU_ADDR_FUG	ISSU_ADDR_VIC	ISSU_ADDR_SWAT	ISSU_SPEC	ISSU_MULTI	ISSU_TASK_SWAT	ISSU_TASK_DRUG	ISSU_TASK_GANG	ISSU_TASK_TRAF	ISSU_TASK_OTHR	ISSU_TASK_SPEC	BASEWT	NRADJUST	FINALWT
CT00034	CT0003400	 	1	2	2	CT001-0418	DANBURY POLICE DEPT	Danbury	Connecticut	CT	06810	82807	Local - SR	101	146	5	7	1	133	7	13	0	129	4	12	0	1	0	0	0	146	75	20	0	3	48	1	0	15	0	24	0	0	0	0	2	1	1	2	2	2	2	2	2	2	2	2	2	2	 	113000	119942	75143	80081	50176	71616	1	2	1	2	2	2	2	2	2	 	1	2	1	1	2	 	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	 	1	3	2	2	-8	-8	-8	-8	-8	-8	2	7	0	0	0	1	0	8	0	2	2	1	2	1	2	2	1	 	 	1	0	0	2	1	2	2	2	2	 	2	43	1	1	2	2	 	0	2	1	0	0	0	3	0	0	0	7	15415789	2	1	2	1	1	2	1	1	2	 	2	-8	-8	2	0	0	0	0	0	0	3	1	4	1	8	2	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	 	1	2	1	1	2	 	1	1	1	2	2	1	1	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	1	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	 	2	2	2	2	2	2	2	2	 	64	38	1	2	2	2	1	2	2	 	3	 	2	 	5	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	1	1	1	1	3	1	1	1	3	1	1	1	-8	1	1	1	1	1	-8	2	2	1	2	1	 	2	1	1	2	 	21	2	2	21	2	2	3	 	1	1	1	2	2	1	1	2	1	1	2	2	 	3	5	1	3	4	3	5	3	1	2	5	3	5	2	2	1	2	1	2	2	2	 	1.046	1.098	1.148
CT00035	CT0003500	 	1	2	2	CT001-0412	DARIEN POLICE DEPT	Darien	Connecticut	CT	06820	21114	Local- 50 to 99	102	51	6	0	1	45	0	6	0	49	0	2	0	0	0	0	0	51	41	6	0	1	3	1	0	7	0	5	2	0	0	0	2	1	1	2	1	2	2	2	2	1	2	2	2	2	 	145000	145000	90000	90000	65000	65000	1	2	2	1	2	1	2	1	2	 	1	2	1	1	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	3	2	2	-8	-8	-8	-8	-8	-8	2	0	0	0	0	1	0	1	0	2	2	2	2	1	1	2	2	 	 	1	0	0	2	2	1	2	2	2	 	1	1	1	1	2	2	 	0	0	1	0	0	0	1	0	0	0	7	6500000	2	1	2	2	2	2	1	2	1	Other/Unspecified Grants	2	-8	-8	2	0	0	0	0	0	0	3	3	1	2	-8	2	1	2	0	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	 	1	1	1	1	2	 	1	1	1	2	1	1	2	1	2	1	2	0	1	0	1	-8	-8	-8	-8	-8	 	2	1	2	1	2	2	 	2	2	2	2	 	2	1	1	1	2	2	1	2	 	13	17	1	2	2	2	1	2	2	 	3	 	2	 	1	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	3	1	3	1	1	3	1	3	3	3	3	1	2	1	1	1	1	1	-8	2	1	-8	-8	-8	-8	1	2	 	2	1	2	2	 	2	1	2	-8	 	 	2	 	2	1	1	2	2	1	1	2	1	2	1	2	 	4	4	3	2	2	4	5	4	2	5	5	4	4	2	2	1	1	2	2	2	2	 	2.572	1.095	2.817
CT00043	CT0004300	 	1	2	2	CT003-0422	EAST HARTFORD POLICE DEPT	East Hartford	Connecticut	CT	06108	51272	Local - SR	101	122	38	0	4	112	0	10	0	109	7	5	0	0	1	0	0	122	83	17	0	1	21	1	0	11	2	16	0	0	0	0	2	1	2	2	1	2	2	2	1	2	1	2	2	1	Animal Control	108679	108679	67135	72488	52850	63963	2	2	2	2	2	2	2	2	1	Field Training Officer Compensation	1	1	2	2	2	 	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	2	6	0	0	0	1	0	7	0	2	2	1	2	1	2	2	1	 	 	2	1	0	2	1	2	2	2	2	 	2	4	1	2	2	2	 	4	0	1	0	0	0	5	0	1	1	7	11645952	2	1	2	1	1	2	1	2	2	 	2	-8	-8	2	0	0	0	0	0	0	2	1	4	2	-8	2	2	2	0	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	2	1	1	1	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	2	2	2	2	2	1	Media/Press Releases	2	1	1	2	 	1	2	2	1	2	2	2	2	 	50	40	1	1	2	2	2	2	1	Personal Watercraft	4	 	4	 	6	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	3	1	3	3	1	3	1	3	3	1	1	3	2	1	1	-8	-8	1	-8	2	1	-8	-8	1	1	-8	1	 	2	1	1	2	 	46	2	2	48	2	2	3	 	2	1	2	2	2	2	2	2	1	1	1	2	 	4	3	4	5	4	5	5	4	3	5	5	4	5	2	1	1	2	2	2	2	1	Shooting	1.046	1.098	1.148
CT00047	CT0004700	 	1	2	2	CT003-0429	EAST WINDSOR POLICE DEPT	East Windsor	Connecticut	CT	06088	11387	Local- 10 to 24	104	22	7	0	3	21	0	1	0	22	0	0	0	0	0	0	0	22	21	1	0	0	0	1	0	2	0	8	0	0	0	0	2	1	2	2	1	2	1	1	1	1	1	1	2	2	 	111093	111093	75427	83158	53726	71834	1	1	2	1	2	2	2	2	1	Longevity Compensation	1	2	1	1	2	 	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	 	1	2	3	2	-8	-8	-8	-8	-8	-8	2	3	0	0	0	0	0	3	0	2	2	2	2	1	2	2	2	 	 	1	0	0	2	1	2	2	2	2	 	2	1	2	1	1	2	 	3	0	0	0	0	0	3	0	0	0	7	2078820	2	1	2	2	2	2	2	2	2	 	2	-8	-8	1	20	0	0	0	0	0	3	 	 	 	 	 	 	 	 	 	2	2	2	1	2	2	2	2	1	1	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	1	Blotter, Summary of Recent Crime Activity	2	1	2	2	 	2	2	2	2	2	2	2	2	 	12	7	2	2	2	2	2	2	2	 	3	 	2	 	1	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6.26	1.138	7.123
CT00051	CT0005100	 	1	2	2	CT001-0417	FAIRFIELD POLICE DEPT	Fairfield	Connecticut	CT	06824	60450	Local - SR	101	107	8	0	7	100	0	7	0	102	2	3	0	0	0	0	0	107	68	14	0	1	24	1	0	1	0	22	1	0	25	0	2	1	1	1	1	2	1	1	1	1	1	2	2	2	 	136000	138720	75272	76682	55000	63000	1	2	2	1	1	1	2	2	2	 	1	2	2	1	2	 	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	1	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	 	 	2	1	1	2	1	2	2	2	2	 	2	0	1	1	2	2	 	0	0	0	0	0	0	0	0	0	0	7	14713843	2	1	2	1	1	1	1	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	-8	4	1	0	2	2	1	68	1	2	1	2	1	2	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	2	1	2	1	2	2	0	1	0	-8	-8	-8	-8	-8	 	2	1	2	2	2	2	 	2	2	2	2	 	1	1	1	1	2	1	1	2	 	30	34	1	1	2	2	1	2	1	tank	2	 	2	 	6	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	3	1	3	3	1	1	1	2	1	2	-8	-8	1	-8	2	1	-8	-8	1	1	2	1	 	2	1	2	2	 	4	2	2	-8	 	 	3	 	1	1	2	2	2	2	2	2	1	2	1	2	 	4	4	1	2	1	3	5	2	1	5	5	2	2	2	3	1	1	1	2	2	2	 	1.046	1.098	1.148
CT00057	CT0005700	 	1	2	2	CT001-0413	GREENWICH POLICE DEPT	Greenwich	Connecticut	CT	06830	62256	Local - SR	101	145	23	0	3	132	0	13	0	128	9	7	0	1	0	0	0	145	93	29	0	2	21	1	0	11	1	22	1	0	0	26	2	1	2	2	1	2	1	1	2	2	1	2	2	2	 	131779	197669	84399	84399	58481	73515	1	2	2	1	2	1	2	2	2	 	1	2	1	1	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	 	2	3	2	2	-8	-8	-8	-8	-8	-8	2	12	0	0	0	0	0	12	0	2	2	1	2	1	2	1	2	 	 	2	 	 	2	2	2	1	2	2	 	1	8	1	1	2	2	 	5	3	1	0	0	0	9	0	0	0	7	18843000	2	1	2	1	1	2	1	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	1	3	2	-8	1	1	1	48	2	2	1	2	1	2	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	2	1	1	2	1	2	1	1	1	0	0	0	1	2	2	2	2	 	2	2	2	1	1	1	 	1	1	2	2	 	1	1	2	1	1	1	1	2	 	30	21	1	1	2	2	1	2	2	 	3	 	2	 	-9	 	1	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	1	1	3	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	1	2	2	 	-9	 	1	-8	 	 	2	 	2	2	2	2	2	2	2	2	1	2	2	2	 	4	4	1	4	3	3	4	4	1	3	5	3	2	2	3	1	2	2	2	2	1	Financial Crimes	1.046	1.098	1.148
CT00062	CT0006200	 	1	2	2	CT009-0436	HAMDEN POLICE DEPT	Hamden	Connecticut	CT	06518	60863	Local - SR	101	106	50	0	0	101	0	5	0	95	4	5	0	2	0	0	0	106	63	27	0	2	14	1	0	11	0	17	0	0	0	1	2	1	1	2	2	2	2	2	1	2	1	2	2	1	School Crossing Guards	105000	105000	82308	82308	56299	74690	1	2	2	1	2	1	2	2	1	EMT Compensation	1	2	1	2	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	2	4	0	0	0	2	0	6	0	2	2	1	2	1	2	2	2	 	 	2	6	0	2	1	2	2	2	2	 	2	3	1	2	2	2	 	4	0	0	0	0	0	4	0	5	5	7	11985445	2	1	2	2	2	2	2	2	2	 	2	-8	-8	1	0	0	0	2	8	5	3	1	1	2	-8	2	2	2	0	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	2	10	0	3	0	-8	-8	-8	-8	-8	 	2	2	2	2	2	1	Incidents	1	1	1	1	help desk, traffic enforcement reqeusts	1	1	1	1	1	2	1	2	 	45	34	1	2	2	2	2	2	2	 	3	 	5	no separate report, it is included in the case incident report	13	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	2	1	2	 	-8	 	 	-9	 	1	2	 	1	1	1	1	1	1	1	2	1	2	1	1	Officer can upgrade or pay partially	4	4	1	1	1	1	4	4	1	1	1	4	4	1	15	1	2	1	1	2	2	 	1.046	1.098	1.148
CT00064	CT0006400	 	1	2	2	CT003-0425	HARTFORD POLICE DEPT	Hartford	Connecticut	CT	06103	124893	Local - SR	101	468	37	0	77	418	0	50	0	303	58	98	0	9	0	0	0	468	287	78	18	4	81	1	0	25	1	62	7	0	0	0	2	1	2	2	1	2	1	1	2	1	2	2	1	2	 	157355	157355	73782	80821	46104	64764	1	2	2	2	2	1	2	2	2	 	1	1	2	2	2	 	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	2	24	0	0	0	0	0	24	0	2	2	1	2	1	2	2	1	 	 	2	1	0	2	1	2	2	2	2	 	2	11	1	1	2	1	 	1	0	2	0	2	0	5	0	1	1	7	36793817	2	1	2	1	1	2	1	2	2	 	2	-8	-8	1	3	3	3	28	28	28	3	1	1	2	-8	2	1	1	88	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	 	1	1	1	2	2	 	1	1	1	1	1	1	2	1	2	1	2	4	0	1	0	-8	-8	-8	-8	-8	 	2	1	1	1	2	2	 	1	1	1	2	 	1	2	1	1	2	2	2	2	 	156	134	1	1	2	2	1	2	2	 	3	 	2	 	8	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	1	1	3	1	1	1	3	2	1	1	1	1	1	1	2	1	-8	1	1	1	-8	1	 	2	1	1	2	 	857	2	2	857	2	2	2	 	1	1	1	1	2	1	1	2	1	2	1	2	 	1	2	1	1	1	3	1	1	1	1	1	1	4	2	6	1	1	1	1	1	1	Firearms	1.046	1.098	1.148
CT00077	CT0007700	 	1	2	2	CT003-0424	MANCHESTER POLICE DEPT	Manchester	Connecticut	CT	06040	58289	Local - SR	101	119	34	0	10	106	0	13	0	108	7	4	0	0	0	0	0	119	79	19	0	1	20	1	0	9	0	17	2	0	0	0	2	1	1	2	1	2	2	2	1	2	1	1	2	2	 	115000	130000	76443	77208	50239	69208	1	2	2	1	2	2	2	2	2	 	1	2	2	1	2	 	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	 	1	2	2	2	-8	-8	-8	-8	-8	-8	2	9	0	0	0	0	0	9	0	2	2	1	2	1	2	2	1	 	 	2	3	2	2	2	2	1	2	2	 	1	6	1	1	1	2	 	1	1	3	0	0	0	5	0	2	2	7	17976412	2	1	2	2	2	2	1	2	2	 	2	-8	-8	1	0	0	0	20	20	20	3	4	4	2	-8	2	2	1	28	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	2	2	1	1	1	2	1	2	0	3	0	0	-8	-8	-8	-8	-8	 	2	2	2	2	2	2	 	2	1	1	2	 	1	1	2	1	2	2	1	2	 	45	23	1	1	2	2	2	2	2	 	3	 	2	 	3	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	3	1	3	1	3	1	1	1	3	1	1	1	1	-8	1	-8	1	1	-8	1	1	1	-8	1	 	2	1	2	2	 	50	1	2	-8	 	 	2	 	2	2	1	2	2	2	2	2	1	2	1	2	 	4	4	1	2	1	4	5	2	1	4	5	4	1	2	7	1	1	1	2	2	1	Traffic, Shooting	1.046	1.098	1.148
CT00080	CT0008000	 	1	2	2	CT009-0442	MERIDEN POLICE DEPT	Meriden	Connecticut	CT	06451	60638	Local - SR	101	120	29	0	0	110	0	10	0	104	5	10	0	1	0	0	0	120	98	21	0	1	0	1	0	11	0	13	0	0	0	7	2	1	1	1	2	2	1	2	1	1	1	1	2	2	 	116000	118000	75379	78977	47174	71801	1	2	1	1	2	1	2	2	2	 	1	2	2	2	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	2	3	0	0	0	3	0	6	0	2	2	1	2	1	2	2	1	 	 	2	0	2	2	1	2	2	2	2	 	2	4	1	1	1	2	 	1	0	0	0	0	0	1	0	0	0	7	13000000	1	1	2	1	1	1	1	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	1	-8	1	120	1	1	1	40	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	2	2	0	1	0	-8	-8	-8	-8	-8	 	2	2	2	2	1	2	 	1	1	1	2	 	1	2	2	2	2	2	2	2	 	35	28	1	1	2	2	2	2	2	 	3	 	2	 	11	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	3	1	3	1	1	1	3	1	1	1	1	1	1	-8	1	1	-8	1	1	1	-8	1	 	2	2	1	2	 	-8	 	 	240	1	2	2	 	1	1	1	1	1	1	1	2	1	2	1	2	 	3	4	1	1	4	4	5	3	1	3	4	3	4	1	2	1	2	1	1	2	2	 	1.046	1.098	1.148
CT00083	CT0008300	 	1	2	2	CT007-0432	MIDDLETOWN POLICE DEPT	Middletown	Connecticut	CT	06457	47325	Local- 50 to 99	102	110	14	0	11	98	0	12	0	99	4	3	0	1	0	1	2	110	80	19	0	1	10	1	0	8	3	14	1	0	0	0	2	1	1	2	1	2	1	2	1	2	1	1	2	1	Scheduling/Private Job Hiring	88379	130790	72860	77746	57448	69281	1	1	2	1	2	2	2	2	1	Longevity Compensation	1	2	1	2	2	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	1	2	2	2	-8	-8	-8	-8	-8	-8	2	6	0	0	0	6	0	12	0	2	2	1	2	1	2	2	2	 	 	1	0	0	2	1	2	2	2	2	 	-8	6	1	2	2	2	 	0	1	1	0	1	0	3	0	0	0	7	11425592	2	1	2	2	2	2	2	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	4	4	2	-8	2	1	1	1	2	2	2	2	1	2	2	1	2	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	2	0	0	0	3	-8	-8	-8	-8	-8	 	2	2	2	1	2	1	Crime Mapping	2	2	2	2	 	2	1	2	2	2	2	1	2	 	31	27	1	1	2	2	1	2	1	Segway	3	 	2	 	9	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	2	1	-8	1	1	1	-8	1	 	2	1	1	2	 	109	1	2	196	1	2	4	 	1	1	1	2	2	2	1	2	1	1	1	2	 	4	4	1	1	4	5	5	4	1	4	5	4	4	3	2	1	1	1	2	2	2	 	2.572	1.095	2.817
