V1	V2	V3	V4	V5	V6	AGENCYID	V7	V8	V9	V10	V11	V12	V13	V14	V15	V34	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V62F	V63	V63F	V64	V64F	V65	V65F	V66	V66F	V67	V67F	V68	V68F	V69	V69F	V70	V70F	V71	V71F	V72	V72F	V73	V73F	V74	V74F	V75	V75F	V76	V76F	V77	V77F	V78	V78F	V79	V79F	V80	V80F	V81	V81F	V82	V82F	V83	V84	V84F	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V101F	V102	V102F	V103	V103F	V104	V104F	V105	V105F	V106	V106F	V107	V107F	V108	V108F	V109	V109F	V110	V110F	V111	V111F	V112	V112F	V113	V113F	V114	V114F	V115	V115F	V116	V116F	V117	V117F	V118	V118F	V119	V119F	V120	V120F	V121	V121F	V122	V122F	V123	V123F	V124	V125	V126	V127	V128	V129	V130	V131	V132	V132F	V133	V133F	V134	V134F	V135	V135F	V136	V136F	V137	V137F	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V179F	V180	V181	V181F	V182	V183	V183F	V184	V185	V185F	V186	V187	V188	V188F	V189	V190	V190F	V191	V192	V192F	V193	V194	V194F	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223	V224	V225	V226	V227	V228	V229	V230	V231	V232	V233	V234	V235	V236	V237	V238	V239	V240	V241	V242	V243	V244	V244F	V245	V245F	V246	V246F	V247	V247F	V248	V248F	V249	V249F	V250	V250F	V251	V251F	V252	V253	V254	V255	V256	V257	V258	V259	V260	V261	V262	V263	V264	V265	V266	V267	V268	V269	V270	V271	V272	V273	V274	V275	V276	V277	V278	V279	V280	V281	V282	V283	V284	V285	V286	V287	V288	V289	V290	V291	V292	V293	V294	V294F	V295	V295F	V296	V296F	V297	V297F	V298	V298F	V299	V299F	V300	V300F	V301	V301F	V302	V303	V304	V304F	V305	V305F	V306	V307	V308	V309	V310	V311	V312	V313	V314	V315	V316	V317	V318	V319	V319F	V320	V320F	V321	V321F	V322	V322F	V323	V324	V325	V326	V327	V328	V329	V330	V331	V332	V333	V334	V335	V336	V337	V338	V339	V340	V341	V342	V343	V344	V345	V346	V347	V348	V349	V350	V351	V352	V353	V354	V355	V356	V357	V358	V359	V360	V361	V362	V363	V364	V365	V366	V367	V368	V369	V370	V371	V372	V373	V374	V375	V376	V377	V378	V379	V380	V381
05	2	015	001	02	60100	0520150010260100	BAKERSFIELD POLICE DEPT	BAKERSFIELD	06029	068000	247057	KERN	03	270	CJ-38L	1898	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	2	0	0	0	301	0	301	0	0	0	0	0	2	0	109	0	28	6	410	0	30	0	208	0	12	0	1	0	208	0	64	0	0	0	0	0	0	0	36773915	0	2	31559	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	4	0	0	664	0	136	0	400	0	280	0	12	0	0	0	230	 	28	 	25	 	5	 	10	 	1	 	0	 	0	 	2	 	0	 	0	 	0	 	0	 	0	 	267	 	34	 	1	1	1	1	1	2	1	1	100065	0	121634	0	55239	0	67155	0	41169	0	50147	0	1	1	3	3	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	 	0	1	1	0	0	0	0	1	0	 	0	0	0	0	0	0	1	200	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	 	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	ANY TYPE	0	3	1	0	1	1	1	0	0	 	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	 	0	187	0	94	0	23	0	1	0	0	0	0	0	28	0	6	0	1	1	8	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	3	0	3	0	3	2	0	1	1	1	1	1	2	 	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	7	1.0145	1.0145
10	1	059	059	02	10100	1010590590210100	SEMINOLE COUNTY SHERIFF DEPARTMENT	SANFORD	12117	596000	365196	SEMINOLE	01	259	CJ-38L	1800	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	6	0	3	0	2	0	304	0	304	0	0	2	0	2	0	3	434	0	151	4	738	0	151	4	159	0	159	0	17	0	159	0	46	0	0	0	27	0	5	0	44817312	0	2	265343	2	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	4	0	0	672	4	0	4	0	4	516	0	40	0	32	4	226	0	37	0	18	0	3	0	15	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	259	0	45	0	2	2	1	2	1	2	2	1	118000	5	118000	5	35000	0	52500	0	23050	0	40337	0	1	1	1	4	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	 	0	1	1	1	1	1	0	0	0	 	1	150	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	0	0	1	1	2	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	AIR HELICOPTER	0	3	0	3	12	0	0	0	0	3	25	0	0	3	6	0	1	0	1	1	0	1	1	0	0	0	 	0	3	0	0	1	0	0	0	0	 	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	 	1	186	0	90	0	122	0	0	0	2	0	10	0	0	0	56	0	1	1	3	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	16	0	0	3	0	3	0	3	1	1	1	1	2	3	 	2	2	1	2	4	1	1	1	1	4	4	1	4	4	1	1	1	4	4	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	36	1.0222	1.0222
47	2	132	001	02	60100	4721320010260100	VIRGINIA BEACH POLICE DEPT	VIRGINIA BEACH	51810	572000	425257	VIRGINIA BEACH CITY AREA	03	669	CJ-38L	1963	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	4	0	4	0	0	0	777	0	721	0	0	0	23	0	0	0	137	0	42	0	881	0	42	0	419	0	120	0	25	0	419	0	132	0	0	0	0	0	0	0	57960815	0	2	360871	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	4	0	0	480	0	400	0	40	0	480	0	40	0	16	0	552	0	65	0	60	0	9	0	11	0	1	0	6	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	646	0	75	0	2	2	2	2	1	2	2	1	73240	0	109860	0	40613	0	58889	0	30199	0	43788	0	1	1	1	4	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	 	0	1	1	1	1	1	0	1	0	 	1	41	0	1	246	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	 	31	0	0	0	4	0	0	0	100	0	0	0	2	0	0	0	1	0	1	1	0	1	0	0	0	0	 	0	2	0	0	1	1	0	1	0	 	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	 	0	186	0	41	0	65	0	1	0	2	0	13	0	27	0	80	0	1	2	17	0	18	0	1	0	0	0	1	1	0	0	0	1	1	0	1	2	0	10	0	1	0	2	0	1	1	1	1	1	3	 	1	1	2	0	2	1	1	1	1	0	1	0	1	0	0	1	0	1	2	0	1	0	2	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	9	1	1
05	2	034	005	02	60100	0520340050260100	SACRAMENTO POLICE DEPT	SACRAMENTO	06067	692082	407018	SACRAMENTO	03	627	CJ-38L	1849	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	2	0	4	0	0	0	664	0	650	0	0	0	7	0	0	0	351	0	127	7	1008	0	127	7	440	0	432	0	8	0	486	0	121	0	0	0	0	0	0	0	75721000	0	2	637621	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	3	60	0	680	0	400	7	400	0	480	0	0	0	0	0	388	0	71	0	36	0	6	0	68	0	7	0	2	0	2	0	56	0	2	0	11	0	1	0	0	0	0	0	561	0	89	0	1	1	1	2	2	1	1	1	81228	0	126011	0	40538	0	53794	0	33082	0	44334	0	1	4	4	4	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	1	300	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	 	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	 	0	1	1	0	1	1	0	1	0	 	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	 	0	185	0	168	0	55	0	1	0	2	0	1	0	22	0	8	0	1	2	10	0	6	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	6	0	3	0	10	0	1	1	1	1	1	3	 	2	1	1	2	2	1	2	2	1	2	1	2	2	3	1	1	1	1	4	2	1	3	3	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	9	1	1
10	1	042	042	02	10100	1010420420210100	MARION COUNTY SHERIFF DEPARTMENT	OCALA	12083	579000	258916	MARION	01	231	CJ-38L	1845	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	8	0	3	0	0	0	494	0	277	7	3	0	217	0	2	0	195	7	0	0	689	0	5	0	150	0	0	0	14	0	150	0	20	0	0	3	18	0	6	0	45576792	0	2	16139	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	5	0	0	760	0	0	0	0	0	560	0	40	0	20	0	215	0	34	0	16	0	5	0	5	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	237	0	40	0	2	2	1	1	1	2	1	2	114934	3	114934	2	30778	0	47951	0	22235	0	41363	0	2	1	1	4	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	1	25	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	1	3	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	 	7	0	0	0	0	0	0	0	30	0	0	0	8	0	0	0	1	0	1	1	0	1	1	0	1	0	 	1	3	0	0	1	1	0	0	0	 	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	 	0	180	7	140	7	190	7	0	0	2	0	6	0	3	0	8	0	1	1	7	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	30	0	2	0	1	0	0	0	1	1	1	1	1	2	 	2	2	2	0	3	3	3	3	1	4	3	1	1	4	4	1	3	3	4	4	1	1	4	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	35	1.0667	1.0667
04	2	060	004	02	50100	0420600040250100	LITTLE ROCK POLICE DEPT	LITTLE ROCK	05119	440000	183133	PULASKI	03	532	CJ-38L	1866	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	2	0	16	0	0	0	572	0	558	0	0	0	0	0	0	0	131	0	47	0	689	0	47	0	366	0	82	0	14	0	284	0	112	0	0	0	0	0	0	0	38959516	0	1	199945	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	4	0	0	480	0	320	0	480	0	0	0	0	0	40	0	344	0	75	0	103	0	27	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	455	0	103	0	1	1	1	2	2	1	1	2	68068	0	102102	0	41371	0	43399	0	25938	0	36227	0	1	3	3	4	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	 	0	0	1	0	0	0	0	0	0	 	0	0	0	1	100	0	1	44	0	0	0	0	 	1	100	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	 	23	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	 	0	3	1	1	1	0	0	1	0	 	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	 	0	178	0	106	0	14	0	0	0	2	0	1	0	7	0	31	0	1	2	6	0	7	0	1	0	0	0	1	1	1	0	0	0	0	1	1	125	0	0	0	0	0	0	0	1	1	1	1	1	3	 	1	2	2	0	1	1	1	1	1	4	1	4	1	4	1	1	1	1	4	4	1	1	4	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	9	1	1
36	2	031	006	02	60100	3620310060260100	CINCINNATI POLICE DEPT	CINCINNATI	39061	164021	331285	HAMILTON	03	958	CJ-38L	1818	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	5	0	34	0	0	0	1030	0	1030	0	0	0	0	0	0	0	291	0	0	0	1321	0	0	0	449	0	56	0	9	0	558	0	213	0	0	0	0	0	5	0	78148540	0	2	639806	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	4	0	0	550	0	370	0	0	0	480	0	8	0	32	0	577	0	144	0	240	0	56	0	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	11	0	2	0	828	0	202	0	1	1	2	2	2	1	2	1	81746	 	108216	 	51346	0	52920	0	37487	0	45370	0	1	1	3	4	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	 	0	0	1	0	0	1	0	0	0	 	0	0	0	0	0	0	1	223	0	0	0	0	 	1	85	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	 	33	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	 	0	1	0	1	0	1	0	0	0	 	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	 	0	177	0	134	0	5	0	0	0	0	0	0	0	10	0	53	0	1	2	7	0	15	0	1	0	0	0	0	0	0	0	0	0	1	0	1	142	0	9	0	0	0	0	0	1	1	1	1	1	3	 	1	1	1	1	2	1	1	1	1	2	2	1	2	4	1	1	2	1	1	4	1	3	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	9	1	1
47	1	076	076	02	40100	4710760760240100	PRINCE WILLIAM COUNTY POLICE DEPARTMENT	MANASSAS	51153	884097	280813	PRINCE WILLIAM	02	317	CJ-38L	1970	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	2	0	9	0	0	0	382	0	382	0	0	0	0	0	0	0	147	0	0	0	529	0	0	0	256	0	198	0	17	0	227	0	77	0	0	0	0	0	0	0	33157215	0	2	211000	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	4	0	0	480	0	920	0	100	0	450	0	20	0	56	0	295	0	35	0	23	0	3	0	11	0	4	0	3	0	0	0	6	0	1	0	0	0	0	0	1	0	0	0	339	0	43	0	2	2	1	2	1	1	2	2	69879	0	111807	0	40836	0	65338	0	34047	0	54475	0	1	1	2	4	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	 	0	0	1	1	1	1	0	1	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	10	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	 	9	0	0	0	3	0	0	0	9	0	0	0	4	0	0	0	1	0	1	1	0	0	1	0	0	0	 	0	3	0	0	1	1	0	0	0	 	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	 	0	177	0	110	0	23	0	0	0	0	0	1	0	16	0	25	0	1	1	5	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	2	0	1	1	1	1	1	3	 	1	2	2	0	2	1	1	2	1	2	2	1	2	2	1	1	1	1	2	1	1	2	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	7	1.0145	1.0145
34	2	092	008	02	60100	3420920080260100	RALEIGH POLICE DEPT	RALEIGH	37183	664000	276093	WAKE	03	526	CJ-38L	1785	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	9	0	1	0	681	0	594	0	0	0	0	0	0	0	78	0	0	0	672	0	0	0	224	0	51	0	8	0	224	0	83	0	0	0	0	0	2	0	44035742	0	2	8513738	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	4	0	0	460	0	472	0	0	0	800	0	8	0	32	0	432	0	44	0	87	0	17	0	8	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	532	0	62	0	2	2	2	2	1	2	2	1	57280	0	105549	0	31895	0	55974	0	30618	0	43857	0	1	1	1	4	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	 	0	1	1	1	0	1	0	0	0	 	0	0	0	0	0	0	1	230	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	 	25	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	 	0	3	1	0	0	0	0	0	0	 	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	 	1	175	0	135	0	53	0	0	0	0	0	0	0	14	0	25	0	2	0	8	0	2	0	0	0	0	1	0	1	1	0	0	0	0	1	1	55	0	0	0	0	0	0	0	1	1	1	1	1	3	 	1	2	2	0	2	2	1	1	1	2	1	1	2	2	2	1	1	2	3	1	1	1	4	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	9	1	1
10	1	043	043	02	10100	1010430430210100	MARTIN COUNTY SHERIFF DEPARTMENT	STUART	12085	271000	126731	MARTIN	01	368	CJ-38L	1925	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	6	0	0	0	358	0	203	0	0	7	155	0	0	3	142	0	32	7	500	0	32	7	83	0	11	0	10	0	83	0	31	0	0	4	16	0	7	0	29327324	0	2	685137	2	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	4	0	0	672	0	38	0	0	0	520	0	40	0	40	0	165	5	6	5	15	5	4	5	10	5	2	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	191	5	12	5	2	2	1	2	1	2	1	1	103391	0	103391	0	27326	0	49119	0	24862	0	43054	0	1	4	4	4	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	 	0	1	1	0	0	0	0	0	1	COMPLIANCE W/ACCREDITATION STANDARDS	0	0	0	0	0	0	1	21	0	0	0	0	 	1	11	0	0	0	0	0	0	0	0	0	0	 	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	 	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	 	1	3	0	0	1	1	0	1	0	 	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	 	0	175	0	85	0	20	0	0	0	2	0	2	0	3	0	11	0	1	1	7	0	0	4	1	0	0	0	0	1	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	1	1	1	1	1	3	 	1	1	2	0	3	3	1	1	1	4	4	4	1	1	4	1	1	4	4	4	1	4	4	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	34	1.0392	1.0392
10	2	006	509	02	60100	1020065090260100	PEMBROKE PINES POLICE DEPT	PEMBROKE PINES	12011	268056	137427	BROWARD	03	168	CJ-38L	1960	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	207	0	201	0	0	0	0	0	0	0	58	6	1	0	259	4	1	0	129	0	10	0	10	0	131	0	30	0	0	0	0	0	0	0	20000000	2	1	916819	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	4	0	0	672	4	0	4	0	4	480	4	40	4	0	4	162	0	19	0	7	0	0	0	10	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	180	0	21	0	1	1	1	2	1	2	1	1	76897	0	115419	2	45364	0	59404	2	36545	0	51480	0	2	1	3	3	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	150	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	0	2	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	 	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	 	0	3	0	0	1	0	0	0	0	 	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	 	1	175	4	57	4	9	4	0	4	0	4	1	4	5	4	3	4	1	2	3	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	2	2	3	 	2	2	2	0	4	2	1	1	1	2	2	1	1	4	1	1	1	2	2	4	1	1	4	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	4	1.0294	1.0294
34	1	032	032	02	10100	3410320320210100	DURHAM COUNTY SHERIFF OFFICE	DURHAM	37063	664000	223314	DURHAM	01	110	CJ-38L	1881	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	3	3	0	1	0	142	0	141	0	0	4	211	0	0	4	65	2	1	0	417	0	1	4	40	0	15	0	16	0	40	0	18	0	0	0	14	0	15	0	20000000	0	2	95664	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	4	0	0	733	0	80	0	0	0	504	0	0	0	20	0	108	4	6	0	22	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	133	4	8	0	2	2	2	2	1	2	1	1	51000	0	51000	4	33370	0	52046	0	27388	0	42716	0	2	2	2	3	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	 	0	0	1	1	1	1	0	1	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	60	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	5	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	 	9	0	3	0	1	0	0	4	0	8	0	8	8888	8	8888	8	1	1	1	1	0	0	1	0	0	0	.38	0	3	0	1	1	0	0	0	0	 	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	 	1	175	4	42	0	7	0	0	3	0	3	5	0	4	0	0	3	1	1	6	0	0	3	1	0	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	 	1	2	2	0	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	34	1.0392	1.0392
10	2	006	702	02	60100	1020067020260100	CORAL SPRINGS POLICE DEPT	CORAL SPRINGS	12011	268056	117549	BROWARD	03	152	CJ-38L	1963	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	2	0	0	0	187	0	174	0	0	0	0	3	0	3	100	0	79	4	274	0	79	4	86	0	87	0	13	0	112	0	38	0	0	0	0	0	0	0	20000000	4	1	130000	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	2	0	0	672	0	58	0	0	0	520	0	40	0	0	3	138	0	19	0	5	0	1	0	7	0	2	0	0	3	0	3	2	0	0	3	0	3	0	3	0	3	0	3	152	0	22	0	1	2	1	1	2	1	1	1	110000	4	130000	4	45132	0	63768	0	38997	0	52447	0	1	4	4	4	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	 	0	1	1	1	1	1	1	1	0	 	1	150	0	0	0	0	0	0	0	0	0	0	 	1	60	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	 	10	0	0	3	2	0	0	3	8	0	8	0	4	0	4	0	1	1	1	1	0	0	0	1	0	0	 	0	3	1	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	 	0	174	0	50	2	8	2	0	2	0	2	0	0	10	2	16	0	1	1	5	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	16	0	2	0	2	0	1	1	1	1	1	3	 	1	1	2	0	4	1	1	4	1	4	2	1	4	4	1	1	4	2	4	4	4	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	4	1.0294	1.0294
