state_abr,state,year,alt_bp,alt_bp_type,abp,ebp,min_hq_wage,min_bp_wage,n_quarters,quarterly_rate,hq_rules,bp_rules,bp_multiplier,formula
RI,rhode island,2022,Last 4,ABP/EBP,1,1,2300,4600,4,1150,,none,1.5,1.5 x HQW in BP and 200 x minimum hourly wage in 1 quarter and at least 400 x min hourly wage in BP; Alt: 1200 x min hourly wage in BP
SC,south carolina,2022,Last 4,ABP,1,0,1092,4455,4,1113.75,,none,1.5,1.5 x HQW in BP and 4455 BPW and 1092 HQW
SD,south dakota,2022,Last 4,ABP/EBP,1,1,728,1288,4,322,,none,,728 in HQ and 20 x WBA outside HQ
TN,tennessee,2022,,EBP,0,1,780.01,1560,2,780,average of 2 high quarters,2 high quarters,,"40 x WBA, 780.01 average wages in highest 2 quarters in BP, wages outside HQ or lesser of 6 x WBA or 900"
TX,texas,2022,,EBP,0,1,0,2664,4,666,,wages in 2 quarters,,37 x WBA  in BP and wages in 2 quarters
UT,utah,2022,Last 4,ABP/EBP,1,1,3200,4800,4,1200,,none,1.5,4800 min and 1.5 x HQW in BP
VA,virginia,2022,Last 4,ABP,1,0,0,3000,2,1500,,2 high quarters,,3000 in 2 highest quarters of BP
VI,us virgin islands,2022,Last 4,ABP,1,0,858,1287,4,321.75,,none,1.5,1.5 x HQW in BP and 858 in HQ; Alt: 858 in HQW and 39 x WBA in BP
VT,vermont,2022,Last 4 or Last 3 + current,ABP,1,0,2999,4199,4,1049.75,,none,1.4,1.4 x HQW in BP and 2999 in HQ
WA,washington,2022,Last 4,ABP,1,0,0,9853.2,4,2463.3,,calculated using their minimum wage,,680 hours employment in BP and wages in BP or alternate BP
WV,west virginia,2022,Last 4,ABP,1,0,0,2200,2,1100,,2 high quarters,,2200 flat amount in 2 quarters
WI,wisconsin,2022,Last 4,ABP,1,0,1350,1890,4,472.5,,wages in at least 2 quarters,,"35 x WBA in BP, 1350 in HQ and 4 x WBA outside HQ and wages in at least 2 quarters"
WY,wyoming,2022,,EBP,0,1,1000,4200,4,1050,,none,1.4,1.4 x HQW in BP (BPW must be >=8% of statewide AAW rounded down to lower 50 increment - minimum HQW requirement calculated by dividing BPW by 4 and rounded down to the lower 50 increment)
